index,id,artist,asciiName,attractionLights,availability,boosterTypes,borderColor,cardKingdomEtchedId,cardKingdomFoilId,cardKingdomId,cardParts,cardsphereId,colorIdentity,colorIndicator,colors,convertedManaCost,duelDeck,edhrecRank,faceConvertedManaCost,faceFlavorName,faceManaValue,faceName,finishes,flavorName,flavorText,frameEffects,frameVersion,hand,hasAlternativeDeckLimit,hasContentWarning,hasFoil,hasNonFoil,isAlternative,isFullArt,isFunny,isOnlineOnly,isOversized,isPromo,isRebalanced,isReprint,isReserved,isStarter,isStorySpotlight,isTextless,isTimeshifted,keywords,language,layout,leadershipSkills,life,loyalty,manaCost,manaValue,mcmId,mcmMetaId,mtgArenaId,mtgjsonV4Id,mtgoFoilId,mtgoId,multiverseId,name,number,originalPrintings,originalReleaseDate,originalText,originalType,otherFaceIds,power,printings,promoTypes,purchaseUrls,rarity,rebalancedPrintings,scryfallId,scryfallIllustrationId,scryfallOracleId,securityStamp,setCode,side,signature,subtypes,supertypes,tcgplayerEtchedProductId,tcgplayerProductId,text,toughness,type,types,uuid,variations,watermark
28,29,Volkan Baǵa,,,"mtgo,paper",draft,black,,123107,122739,,283,W,,W,1.0,,6914.0,,,,,"nonfoil,foil",,"""Today there is feasting and peace across our land, but the war has not ended. Tuck away your bloodlust. You'll need it tomorrow.""
—Karrim, Samite healer",,2003,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,English,normal,,,,{W},1.0,16185,2710,,96b518a0-e67b-5bf4-b33a-e71d7576a943,27043,27042,129593,Holy Day,21,,,Prevent all combat damage that would be dealt this turn.,Instant,,,"10E,8ED,9ED,INV,LEG,PS11",,"{'cardKingdom': 'https://mtgjson.com/links/d79f5306f8233f97', 'cardKingdomFoil': 'https://mtgjson.com/links/ce264b50fc69663a', 'cardmarket': 'https://mtgjson.com/links/c3ef0900732174a0', 'tcgplayer': 'https://mtgjson.com/links/d15fa92a52f500cf'}",common,,f3895c0c-0db8-4962-b386-57887fb60701,66cf75d1-1f45-406b-89bc-606fd6b7275a,98423a34-f044-4811-b288-56981d604b6e,,10E,,,,,,15163,Prevent all combat damage that would be dealt this turn.,,Instant,Instant,02e23fa1-b2f0-528c-b331-12a0c27bc5eb,,
135,136,William O'Connor,,,"mtgo,paper",draft,black,,123181,,,,U,,U,5.0,,12870.0,,,,,foil,,There's no telling what an accomplished mage might collect.,,2003,,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Enchant,English,normal,,,,{3}{U}{U},5.0,16259,4149,,c9e15486-c19b-5fe2-8d16-87b1bed3b809,,,,Persuasion,95★,,,,,,,"10E,ODY",,"{'cardKingdomFoil': 'https://mtgjson.com/links/9907bb9a9e649403', 'cardmarket': 'https://mtgjson.com/links/510c8fa434a97899', 'tcgplayer': 'https://mtgjson.com/links/857b9aa748cac5ad'}",uncommon,,3ab3611c-b0ab-48ea-8c64-e7c500e95fc5,5fed711f-85d9-4ca7-a884-925c9c72ec61,a503d302-6b12-4d82-9ba6-73efbcb1b1a2,,10E,,,Aura,,,15244,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
You control enchanted creature.",,Enchantment — Aura,Enchantment,022ee2d2-d02b-580e-a549-ed9555ef9153,b4f659b7-bef9-527b-95e8-55cc9c444ea4,
200,201,Thomas M. Baxa,,,"mtgo,paper",draft,black,,123229,122861,,200,B,,B,1.0,,14247.0,,,,,"nonfoil,foil",,"In life, it was a fetid, disease-ridden thing. In death, not much changed.",,2003,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,English,normal,,,,{B},1.0,16307,2009,,77cc61f9-02cc-534a-8cb2-5123253a4207,27521,27520,129546,Festering Goblin,143,,,"When Festering Goblin is put into a graveyard from play, target creature gets -1/-1 until end of turn.",Creature - Zombie Goblin,,1,"10E,9ED,ARC,HOP,MMA,ONS,PSAL",,"{'cardKingdom': 'https://mtgjson.com/links/1078f91b3d5498dc', 'cardKingdomFoil': 'https://mtgjson.com/links/1a1c2989ea248ca6', 'cardmarket': 'https://mtgjson.com/links/54e21abab7f603c6', 'tcgplayer': 'https://mtgjson.com/links/dca5b878d8e92d8d'}",common,,fce1a3a3-f0b8-4088-85f6-8cbdd1f29e65,0a902e6e-5d23-4f02-8eca-77043a0e3749,66fb4764-d309-4c30-a2a4-474f9030dc87,,10E,,,"Zombie,Goblin",,,15122,"When Festering Goblin dies, target creature gets -1/-1 until end of turn.",1,Creature — Zombie Goblin,Creature,004adf9a-b59a-5d56-9093-df73b9929bb1,,
248,249,rk post,,,"mtgo,paper",draft,black,,123269,122901,,686,B,,B,2.0,,18975.0,,,,,"nonfoil,foil",,"""Just take a little off the top.""",,2003,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,English,normal,,,,{1}{B},2.0,16347,5983,,9ddca672-33b7-5c66-b907-f0cde389fd0e,27241,27240,136282,Thrull Surgeon,183,,,"{1}{B}, Sacrifice Thrull Surgeon: Look at target player's hand and choose a card from it. That player discards that card. Play this ability only any time you could play a sorcery.",Creature - Thrull,,1,"10E,EXO,TPR,WC98",,"{'cardKingdom': 'https://mtgjson.com/links/2bb4171ad1078509', 'cardKingdomFoil': 'https://mtgjson.com/links/cbdc831fac283b36', 'cardmarket': 'https://mtgjson.com/links/2521c5dea9ff05ab', 'tcgplayer': 'https://mtgjson.com/links/546d787861c520ff'}",uncommon,,2d6fe257-b1bd-4eaf-9941-e8819f3bc89a,4b025a10-0051-4972-8b55-54be4478cb16,ead5a2bf-f48a-43a2-89bb-df3cc587c843,,10E,,,Thrull,,,15363,"{1}{B}, Sacrifice Thrull Surgeon: Look at target player's hand and choose a card from it. That player discards that card. Activate only as a sorcery.",1,Creature — Thrull,Creature,01d6c876-b6e6-5534-8bef-42862a9cd839,,
270,271,Aleksi Briclot,,,"mtgo,paper",draft,black,,,122918,,204,R,,R,1.0,,14149.0,,,,,nonfoil,,,,2003,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Enchant,English,normal,,,,{R},1.0,16364,2054,,6baaef93-2b03-54fa-a9c4-a73ddfac9f22,27011,27010,129548,Firebreathing,200,,,"Enchant creature (Target a creature as you play this. This card comes into play attached to that creature.)
{R}: Enchanted creature gets +1/+0 until end of turn.",Enchantment - Aura,,,"10E,2ED,30A,3ED,4BB,4ED,5ED,6ED,9ED,CED,CEI,FBB,LEA,LEB,M10,M12,MIR,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/d71787dcbcdfd7ae', 'cardmarket': 'https://mtgjson.com/links/ec48f73d3ab96806', 'tcgplayer': 'https://mtgjson.com/links/8782a9e86b4ff50f'}",common,,7c623048-8c87-46d8-bf77-9fe1b38f494f,173d595d-d34f-4c63-a8aa-600d1bc9af66,8603bf74-faab-4910-8e45-0f2e3b318efb,,10E,,,Aura,,,15124,"Enchant creature
{R}: Enchanted creature gets +1/+0 until end of turn.",,Enchantment — Aura,Enchantment,02aa05a4-ff94-5bda-8ad7-24f00bd19ec4,bf599cd8-8095-5725-bcca-244b9e69f5d0,
359,360,Randy Gallegos,,,"mtgo,paper",draft,black,,,122985,,242,G,,G,4.0,,13873.0,,,,,nonfoil,,"""When I trained under Multani, he bade me sit for hours watching Yavimaya's spiders. From them I learned stealth, patience, and the best way to snare a wind drake.""
—Mirri of the *Weatherlight*",,2003,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Reach,English,normal,,,,{3}{G},4.0,16431,2331,,10795049-9ea9-5fe8-a0e6-4738699dde7e,27259,27258,129570,Giant Spider,267,,,Reach (This creature can block creatures with flying.),Creature - Spider,,2,"10E,2ED,30A,3ED,4BB,4ED,5ED,6ED,7ED,8ED,9ED,AKH,ATH,CED,CEI,DPA,FBB,GS1,LEA,LEB,M10,M11,M12,M14,M19,MB1,POR,PS11,PZ2,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/026ff15e88f7b82e', 'cardmarket': 'https://mtgjson.com/links/18ebe84d0766958f', 'tcgplayer': 'https://mtgjson.com/links/00bdf4347c194ab1'}",common,,d9fefe43-144a-4f47-80ce-c627efed9ac6,6bb01311-3a02-4b23-a5a2-ac3d0e676300,e740ce2f-2134-473c-afa1-1b6d2d1e38ef,,10E,,,Spider,,,15143,Reach (This creature can block creatures with flying.),4,Creature — Spider,Creature,033917bc-01f6-5202-93af-d56bde440b45,e9397b67-e88c-5f8b-9839-b8887bb9c1bf,
396,397,Roger Raupp,,,"mtgo,paper",draft,black,,123379,123011,,530,G,,G,3.0,,21907.0,,,,,"nonfoil,foil",,"If you try to sneak up on a rootwalla, you'll suddenly find yourself dealing with twice the lizard.",,2003,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,English,normal,,,,{2}{G},3.0,16457,4791,,8602473b-f030-52f0-90a7-15537216ea43,27075,27074,129707,Rootwalla,293,,,{1}{G}: Rootwalla gets +2/+2 until end of turn. Play this ability only once each turn.,Creature - Lizard,,2,"10E,9ED,M14,TMP,TPR,W17",,"{'cardKingdom': 'https://mtgjson.com/links/a8d6912bca3b4dcc', 'cardKingdomFoil': 'https://mtgjson.com/links/2c53b5c4009c545b', 'cardmarket': 'https://mtgjson.com/links/b199a244f27c7331', 'tcgplayer': 'https://mtgjson.com/links/62fd413b86ba65de'}",common,,4ed6122e-670f-4b02-a774-2c230f369147,7b32ca3e-ac73-4c2c-b5b7-c2f05a1fb85b,4dda5f21-11d6-40ce-be24-7c9529272c25,,10E,,,Lizard,,,15286,{1}{G}: Rootwalla gets +2/+2 until end of turn. Activate only once each turn.,2,Creature — Lizard,Creature,01248698-729b-5a69-ba8c-f1686a181abb,,
435,436,Dan Scott,,,"mtgo,paper",draft,black,,123409,123041,,226,,,,0.0,,9803.0,,,,,"nonfoil,foil",,Some say the fountain's waters are the first rains that fell over Dominaria.,,2003,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,English,normal,,,,{0},0.0,16487,2201,,5868d73e-5284-5741-96e7-765bc769345d,27067,27066,135273,Fountain of Youth,323,,,"{2}, {T}: You gain 1 life.",Artifact,,,"10E,5ED,6ED,CHR,DRK,PTC",,"{'cardKingdom': 'https://mtgjson.com/links/4bbeef28ee159575', 'cardKingdomFoil': 'https://mtgjson.com/links/c8c33b2b0e1f618d', 'cardmarket': 'https://mtgjson.com/links/a5f4c562bb3dc18c', 'tcgplayer': 'https://mtgjson.com/links/710de521b1770736'}",uncommon,,8515a993-0f9d-4ac8-8452-889f23d9d9a9,45d582f4-28c7-450a-b971-68f8df74bae8,b906923c-9997-4da5-a05e-53eb4d2dff32,,10E,,,,,,15135,"{2}, {T}: You gain 1 life.",,Artifact,Artifact,01e48603-fbf2-5178-92d2-3d6c9944f4b5,,
689,690,Richard Thomas,,,paper,draft,white,,,13275,,45883,R,,R,3.0,,16861.0,,,,,nonfoil,,"Conjured from the bowels of hell, the fiery wall forms an impassable barrier, searing the soul of any creature attempting to pass through its terrible bursts of flame.",,1993,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Defender,English,normal,,,,{1}{R}{R},3.0,4991,,,8f438d61-1140-5650-82d4-b265709cb6c4,,,826,Wall of Fire,182,,,"oo
R +1/+0 until end of turn.",Summon - Wall,,0,"10E,2ED,30A,3ED,4BB,4ED,5ED,6ED,7ED,CED,CEI,FBB,LEA,LEB,M10,M13,M15,MB1,SUM",,"{'cardKingdom': 'https://mtgjson.com/links/6568b559b4ab5b55', 'tcgplayer': 'https://mtgjson.com/links/6ae4da1ce5e8e390'}",uncommon,,74841ee8-2af0-4019-898d-d0ce72fc62c3,8f3cf6ce-17c2-439a-b368-f99b007c23ed,f38c8b47-e8e0-4d2f-b1da-d8d986805a48,,2ED,,,Wall,,,9252,"Defender (This creature can't attack.)
{R}: Wall of Fire gets +1/+0 until end of turn.",5,Creature — Wall,Creature,03067da3-4b66-57de-8181-cfdf12f48a9c,,
767,768,Mark Tedin,,,paper,draft,white,,,13159,,45764,,,,1.0,,118.0,,,,,nonfoil,,,,1993,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,English,normal,,,,{1},1.0,5149,,,4f4b6cf7-7a18-558f-b57c-85c8e9e770ac,,,627,Mana Vault,260,,,"Tap to add 3 colorless mana to your mana pool. Mana Vault doesn't untap normally during untap phase; to untap it, you must pay 4 mana. If Mana Vault remains tapped during upkeep it does 1 damage to you. Tapping this artifact can be played as an interrupt.",Mono Artifact,,,"2ED,2X2,30A,3ED,4BB,4ED,5ED,CED,CEI,FBB,LEA,LEB,ME4,MPS,PRM,PUMA,SUM,UMA,VMA",,"{'cardKingdom': 'https://mtgjson.com/links/782d479e160fd0b3', 'tcgplayer': 'https://mtgjson.com/links/61b96aa07c996dce'}",rare,,778d10e6-251b-4ef3-b9b8-bc23a0d74aed,003de8de-c481-4529-add1-a4e0e1fbfd07,736892cb-a34b-4bb9-b56c-e26e3db207a2,,2ED,,,,,,9133,"Mana Vault doesn't untap during your untap step.
At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.
At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.
{T}: Add {C}{C}{C}.",,Artifact,Artifact,02eb63dc-57d6-5eac-936b-d67ff4f54911,,
